date of purchase,book TITLE,price of  book ,qty of book ,after cut charges paybele
12-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,400
12-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
12-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
12-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
12-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
12-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
12-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
12-06-2021,"UGC NET DIGEST PRASHN PATRA -2, SHARIRIK SHIKSHA (PRATHAM",2200,1,1750
12-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,850,1,500
12-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,850,1,500
12-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,850,1,500
12-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,400
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
14-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
14-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
14-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
14-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
14-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,400
14-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
14-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,500
14-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
14-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
